respondent_id,aware,brand_correct,brand_decoy_hit,brand_understanding,awareness_tier,products_recognized_count,products_tried_count,tagline_known,tagline_rating,tagline_alignment,ebisen_familiarity,ebisen_belief,belief_reason,belief_reason_typed,trial_intent,age,gender,score_ingredient,score_taste,score_variety,score_texture,score_health,gender_LGBTQ+,gender_ชาย,gender_หญิง,topmind_subbrand,topmind_parent_brand,topmind_shrimp_cracker,topmind_shrimp,topmind_potato,topmind_snack_generic,topmind_japan,topmind_natural_health,topmind_positive_attr,topmind_visual_packaging,occ_work_study,occ_leisure,occ_late_night,occ_between_meals,occ_other,recog_คาลโวร่า,tried_คาลโวร่า,recog_เอบินาริ,tried_เอบินาริ,recog_เอบินาริ X,tried_เอบินาริ X,recog_ฮานาโร,tried_ฮานาโร,recog_แบ็กซ์,tried_แบ็กซ์,recog_พัฟโมริ,tried_พัฟโมริ,recog_Jomona,tried_Jomona,recog_บิบิป๊อป,tried_บิบิป๊อป,recog_สแน็คแบ๊ค,tried_สแน็คแบ๊ค,recog_Veggie Snap,tried_Veggie Snap,recog_ฟรูทร่า,tried_ฟรูทร่า,strength_ใช้วัตถุดิบจากธรรมชาติ (Use natural ingredients),strength_ทำจากเนื้อสัตว์แท้ (From real meat),strength_มีรสชาติอร่อย (Tasty),strength_มีคุณภาพดี (Good quality),strength_เป็นแบรนด์ญี่ปุ่น (Japan brand),strength_เพื่อสุขภาพที่ดี (For healthy lifestyles),trust_การรับรองมาตรฐานการผลิตจากญี่ปุ่น,trust_แหล่งที่มาของวัตถุดิบ,trust_เป็นผลิตภัณฑ์นำเข้าจากญี่ปุ่น,trust_การรับรองจากหน่วยงานด้านอาหาร,trust_ข้อมูลเกี่ยวกับกระบวนการผลิต,trust_เห็นขั้นตอนของการเก็บเกี่ยววัตถุดิบ,report_flavor_Original,report_flavor_ต้มยำกุ้ง,report_flavor_Extra BBQ,report_flavor_หมึกย่างสาหร่าย
20,1,3,0,7,Mid,8,7,0,2.0,0.6666666666666666,3,1.0,other,believer_other,1.0,3,ชาย,4,5,3,4,4,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,1,1,0,0,0
21,1,2,0,6,Low,7,5,0,4.0,0.0,2,0.0,skeptical,disbeliever_skeptical,0.0,3,หญิง,4,5,4,5,5,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,0,1,1,0,1,0,0,1,1,1,0,0,0,0
22,1,1,0,5,Low,1,1,0,2.0,0.6666666666666666,3,0.0,other,disbeliever_other,1.0,2,หญิง,3,2,3,2,5,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,1,0,0,1
23,1,7,2,9,High,6,7,0,4.0,0.3333333333333333,2,1.0,label_evidence,believer_label_evidence,1.0,2,หญิง,5,5,5,5,5,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
24,1,0,0,4,Low,7,6,0,3.0,0.0,1,,no_response,no_response,,2,หญิง,5,5,3,5,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0
25,1,2,0,6,Low,8,7,0,1.0,0.6666666666666666,3,0.0,skeptical,disbeliever_skeptical,0.0,3,LGBTQ+,3,5,3,4,3,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,1,0,0,0
26,1,7,3,8,High,6,6,0,1.0,0.0,3,1.0,other,believer_other,1.0,1,ชาย,5,5,3,5,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,1,1,1,0,1,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,1,1,0,0,0
27,1,2,0,6,Low,2,4,0,4.0,0.6666666666666666,3,1.0,other,believer_other,1.0,2,หญิง,5,4,4,5,4,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,1,0,0,1,0,0,0
28,1,7,3,8,High,6,5,0,5.0,0.6666666666666666,3,1.0,other,believer_other,1.0,3,หญิง,5,5,5,5,5,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,1,1,1,0,1,1,0,1,0,0,1,1,0,0,0,0,1,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0
29,1,0,0,4,Low,5,6,0,1.0,1.0,1,,no_response,no_response,,3,ชาย,3,4,3,4,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
30,1,6,3,7,High,7,5,0,2.0,0.6666666666666666,2,0.0,label_evidence,disbeliever_label_evidence,1.0,2,หญิง,5,5,5,5,5,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0
31,1,7,3,8,High,9,7,0,3.0,0.3333333333333333,3,0.0,other,disbeliever_other,1.0,1,หญิง,4,5,3,4,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,0,0
32,1,7,3,8,High,6,8,0,2.0,0.0,3,0.0,other,disbeliever_other,1.0,4,หญิง,3,5,4,4,5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,1,0,1,1,1,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,0,1,1,0,1,1,1,0,0,1
33,1,1,0,5,Low,7,7,0,3.0,0.6666666666666666,1,,no_response,no_response,,4,ชาย,4,4,4,4,4,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0
34,1,1,0,5,Low,7,7,0,3.0,0.3333333333333333,1,,no_response,no_response,,3,ชาย,3,5,4,5,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0
35,1,0,0,4,Low,6,6,0,2.0,0.3333333333333333,1,,no_response,no_response,,3,LGBTQ+,4,4,3,4,3,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
36,1,1,0,5,Low,6,6,0,3.0,0.6666666666666666,3,0.0,skeptical,disbeliever_skeptical,1.0,3,หญิง,4,5,3,3,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,1,1,0,1,1,1,0,1,0,1,0,0,0
37,1,2,0,6,Low,7,8,0,3.0,0.6666666666666666,3,1.0,skeptical,believer_skeptical,1.0,2,LGBTQ+,4,4,5,4,5,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0
38,1,0,0,4,Low,3,2,0,3.0,0.0,1,,no_response,no_response,,4,หญิง,3,5,3,5,3,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
39,1,2,0,6,Low,6,5,0,2.0,0.3333333333333333,2,1.0,brand_image,believer_brand_image,1.0,4,หญิง,4,5,3,4,4,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0
40,1,3,0,7,Mid,6,5,0,3.0,0.3333333333333333,3,0.0,other,disbeliever_other,0.0,4,หญิง,5,5,3,4,4,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,1,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,1,0,1,0,0,1
41,1,0,0,4,Low,5,2,0,4.0,0.6666666666666666,2,1.0,brand_image,believer_brand_image,0.0,5,ชาย,4,5,2,5,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0
42,1,7,0,11,High,9,8,0,4.0,0.6666666666666666,1,,no_response,no_response,,2,หญิง,4,5,5,5,4,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0
43,1,4,1,7,Mid,6,7,0,3.0,0.6666666666666666,3,1.0,skeptical,believer_skeptical,1.0,3,หญิง,5,5,2,4,3,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,1,0,0,0
44,1,4,2,6,Mid,9,7,0,2.0,0.3333333333333333,2,0.0,other,disbeliever_other,1.0,3,ชาย,5,5,5,5,5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0
45,1,7,3,8,High,6,4,0,4.0,0.3333333333333333,3,0.0,other,disbeliever_other,0.0,3,ชาย,3,5,1,3,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,1,1,1,0,0,1
46,1,5,0,9,High,11,11,1,3.0,1.0,3,1.0,label_evidence,believer_label_evidence,1.0,4,หญิง,4,4,3,4,3,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,0,0,1,1,1,0
47,1,3,0,7,Mid,8,8,0,1.0,0.3333333333333333,2,0.0,other,disbeliever_other,1.0,4,LGBTQ+,4,5,4,4,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0
48,1,0,0,4,Low,5,3,0,5.0,0.6666666666666666,1,,no_response,no_response,,5,หญิง,4,5,3,5,2,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0
49,1,4,0,8,Mid,7,6,0,3.0,0.6666666666666666,2,1.0,sensory,believer_sensory,1.0,3,หญิง,4,5,3,4,3,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0
50,1,1,2,3,Low,6,6,0,2.0,0.6666666666666666,3,1.0,other,believer_other,0.0,2,หญิง,4,5,3,5,4,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,0,1,0,1,1,0,0,1,0,0,0
51,1,4,1,7,Mid,8,5,0,5.0,0.6666666666666666,3,0.0,skeptical,disbeliever_skeptical,1.0,4,หญิง,5,5,3,5,5,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,1,1,0,1,0,1,1,0,0,1,1,1,1,0,0,1,0,1,1,1,0,1,0,1,0,0,0,1,0,0,0
52,1,2,0,6,Low,1,5,0,4.0,0.6666666666666666,1,,no_response,no_response,,3,หญิง,4,5,3,5,2,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
53,1,1,0,5,Low,8,7,0,4.0,0.0,3,0.0,other,disbeliever_other,0.0,3,หญิง,5,5,5,5,5,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
54,1,1,0,5,Low,7,5,0,4.0,0.3333333333333333,1,,no_response,no_response,,3,หญิง,3,4,4,4,4,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,1,1,1,0,1,1,1,1,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
55,1,6,3,7,High,6,6,0,4.0,0.3333333333333333,1,,no_response,no_response,,2,LGBTQ+,3,4,1,3,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0
56,1,1,0,5,Low,8,8,0,2.0,0.3333333333333333,1,,no_response,no_response,,3,หญิง,2,5,4,5,4,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
57,1,1,2,3,Low,7,6,1,3.0,0.0,3,1.0,sensory,believer_sensory,1.0,2,หญิง,4,4,4,5,5,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0
58,1,5,3,6,High,4,4,0,2.0,0.3333333333333333,1,,no_response,no_response,,2,ชาย,3,4,3,4,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
59,1,1,0,5,Low,1,5,0,4.0,0.0,1,,no_response,no_response,,3,หญิง,5,5,3,5,4,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
60,1,2,2,4,Low,8,7,0,3.0,0.3333333333333333,3,0.0,other,disbeliever_other,0.0,3,หญิง,4,5,3,4,5,0,0,1,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,1,0,0,0
61,1,3,0,7,Mid,9,10,0,4.0,0.0,3,1.0,other,believer_other,1.0,4,ชาย,5,5,2,5,2,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1,1,0,1,0,1,1,0,0,1,1,0,0
62,1,2,0,6,Low,5,5,0,3.0,1.0,3,1.0,label_evidence,believer_label_evidence,1.0,5,ชาย,5,5,4,5,5,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,1,0,0,0
63,1,2,0,6,Low,2,2,0,3.0,0.3333333333333333,3,1.0,other,believer_other,1.0,5,ชาย,5,5,5,5,5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
64,1,0,0,4,Low,5,3,0,3.0,0.0,1,,no_response,no_response,,5,ชาย,5,5,2,4,5,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
65,1,3,0,7,Mid,6,6,0,3.0,0.0,3,1.0,other,believer_other,0.0,5,ชาย,5,5,5,5,3,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,0,1,1,0,0,1,1,1,0,0,0
66,1,1,1,4,Low,4,4,0,3.0,0.6666666666666666,1,,no_response,no_response,,5,ชาย,4,4,3,4,4,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
67,1,0,0,4,Low,5,5,0,1.0,0.0,1,,no_response,no_response,,5,ชาย,3,5,3,5,3,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
