respondent_id,aware,brand_correct,brand_decoy_hit,brand_understanding,awareness_tier,products_recognized_count,products_tried_count,tagline_known,tagline_rating,tagline_alignment,ebisen_familiarity,ebisen_belief,belief_reason,belief_reason_typed,trial_intent,age,gender,score_ingredient,score_taste,score_variety,score_texture,score_health,gender_LGBTQ+,gender_ชาย,gender_หญิง,topmind_subbrand,topmind_parent_brand,topmind_shrimp_cracker,topmind_shrimp,topmind_potato,topmind_snack_generic,topmind_japan,topmind_natural_health,topmind_positive_attr,topmind_visual_packaging,occ_work_study,occ_leisure,occ_late_night,occ_between_meals,occ_other,recog_คาลโวร่า,tried_คาลโวร่า,recog_เอบินาริ,tried_เอบินาริ,recog_เอบินาริ X,tried_เอบินาริ X,recog_ฮานาโร,tried_ฮานาโร,recog_แบ็กซ์,tried_แบ็กซ์,recog_พัฟโมริ,tried_พัฟโมริ,recog_Jomona,tried_Jomona,recog_บิบิป๊อป,tried_บิบิป๊อป,recog_สแน็คแบ๊ค,tried_สแน็คแบ๊ค,recog_Veggie Snap,tried_Veggie Snap,recog_ฟรูทร่า,tried_ฟรูทร่า,strength_ใช้วัตถุดิบจากธรรมชาติ (Use natural ingredients),strength_ทำจากเนื้อสัตว์แท้ (From real meat),strength_มีรสชาติอร่อย (Tasty),strength_มีคุณภาพดี (Good quality),strength_เป็นแบรนด์ญี่ปุ่น (Japan brand),strength_เพื่อสุขภาพที่ดี (For healthy lifestyles),trust_การรับรองมาตรฐานการผลิตจากญี่ปุ่น,trust_แหล่งที่มาของวัตถุดิบ,trust_เป็นผลิตภัณฑ์นำเข้าจากญี่ปุ่น,trust_การรับรองจากหน่วยงานด้านอาหาร,trust_ข้อมูลเกี่ยวกับกระบวนการผลิต,trust_เห็นขั้นตอนของการเก็บเกี่ยววัตถุดิบ,report_flavor_Original,report_flavor_ต้มยำกุ้ง,report_flavor_Extra BBQ,report_flavor_หมึกย่างสาหร่าย,is_anomaly_iforest,is_anomaly_lof,is_anomaly_consensus,anomaly_score_iforest,anomaly_score_lof,cluster_kmeans,cluster_hier,pca_x,pca_y,persona
12,1,3,1,6,Mid,6,6,0,3.0,0.6666666666666666,1,,no_response,no_response,,2,หญิง,5,5,5,5,5,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,-0.4401581177370124,-1.0083905938909343,1,0,0.3746435840276255,-0.11678277366419924,Aware but Lost
13,1,4,1,7,Mid,10,9,1,5.0,0.3333333333333333,2,0.0,other,disbeliever_other,1.0,2,หญิง,5,5,3,3,5,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,0,0,0,1,1,1,-0.5983656377849252,-2.3595767166527937,3,2,3.5526594696835314,-2.8747160873694466,Brand Advocate
14,1,0,0,4,Low,6,2,0,5.0,1.0,3,1.0,brand_image,believer_brand_image,0.0,3,หญิง,4,5,3,5,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,-0.4857311204716346,-1.189351407130703,1,0,-1.0483125735713115,-1.0329734755933708,Aware but Lost
15,1,2,0,6,Low,5,5,0,4.0,0.6666666666666666,2,1.0,brand_image,believer_brand_image,1.0,3,ชาย,5,5,3,5,4,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,-0.43383642921101534,-0.9932367273133569,1,0,-0.6055721862994299,-0.7717196820303667,Aware but Lost
16,1,7,3,8,High,4,5,0,2.0,0.6666666666666666,1,,no_response,no_response,,1,LGBTQ+,2,5,2,2,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,-0.570166030766491,-1.1431606371137022,0,3,1.4018530886239522,2.6763088685721312,Partial Connect
17,1,0,1,3,Low,7,3,0,3.0,0.6666666666666666,3,1.0,brand_image,believer_brand_image,1.0,2,LGBTQ+,3,5,3,3,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,1,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,-0.49348053170614675,-1.1358998910929017,1,0,-0.14097198265284344,-0.22046060801915293,Aware but Lost
18,1,0,1,3,Low,5,5,0,3.0,0.6666666666666666,1,,no_response,no_response,,2,หญิง,4,5,3,4,3,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.43885884088571536,-1.0479892022722297,1,0,-0.6475803184745924,-0.06699118794558993,Aware but Lost
19,1,3,1,6,Mid,8,7,0,2.0,0.3333333333333333,3,1.0,sensory,believer_sensory,0.0,3,หญิง,4,5,4,3,3,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,-0.4243037768051458,-0.9845057787228069,1,0,1.1631773120935318,-0.7020855932892541,Aware but Lost
20,1,3,0,7,Mid,8,7,0,2.0,0.6666666666666666,3,1.0,other,believer_other,1.0,3,ชาย,4,5,3,4,4,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,-0.4136987890006344,-0.963266834071101,1,0,1.053776461409702,-1.46895549034303,Aware but Lost
21,1,2,0,6,Low,7,5,0,4.0,0.0,2,0.0,skeptical,disbeliever_skeptical,0.0,3,หญิง,4,5,4,5,5,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,0,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,-0.4366619824507099,-1.147126140777186,1,0,-0.37500255169219465,-0.40383196166078067,Aware but Lost
22,1,1,0,5,Low,1,1,0,2.0,0.6666666666666666,3,0.0,other,disbeliever_other,1.0,2,หญิง,3,2,3,2,5,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,1,0,0,1,1,1,1,-0.6215235018703555,-1.6358375163810503,2,1,-2.4884776419966927,2.089524324645138,Disconnected
23,1,7,2,9,High,6,7,0,4.0,0.3333333333333333,2,1.0,label_evidence,believer_label_evidence,1.0,2,หญิง,5,5,5,5,5,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,-0.4766005100655296,-1.0054692916709,0,3,1.787827109229529,0.9313574663383358,Partial Connect
24,1,0,0,4,Low,7,6,0,3.0,0.0,1,,no_response,no_response,,2,หญิง,5,5,3,5,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,-0.4605910278005918,-1.0447460236442498,1,0,-0.5862077535188303,-0.6337793362250859,Aware but Lost
25,1,2,0,6,Low,8,7,0,1.0,0.6666666666666666,3,0.0,skeptical,disbeliever_skeptical,0.0,3,LGBTQ+,3,5,3,4,3,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,-0.4199449225054289,-0.9844901588537314,1,0,0.8943852296556131,-1.4569460674276127,Aware but Lost
26,1,7,3,8,High,6,6,0,1.0,0.0,3,1.0,other,believer_other,1.0,1,ชาย,5,5,3,5,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,1,1,1,0,1,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,-0.548070062273173,-1.2741359003337458,0,3,2.1637812936146936,1.9550297946575865,Partial Connect
27,1,2,0,6,Low,2,4,0,4.0,0.6666666666666666,3,1.0,other,believer_other,1.0,2,หญิง,5,4,4,5,4,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,-0.4963960664699769,-1.2986788234330242,2,1,-1.1015835458844485,0.3972117176654441,Disconnected
28,1,7,3,8,High,6,5,0,5.0,0.6666666666666666,3,1.0,other,believer_other,1.0,3,หญิง,5,5,5,5,5,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,1,1,1,0,1,1,0,1,0,0,1,1,0,0,0,0,1,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,-0.47229211002133603,-1.093548617842345,0,3,1.688816624290569,1.0738302750309003,Partial Connect
29,1,0,0,4,Low,5,6,0,1.0,1.0,1,,no_response,no_response,,3,ชาย,3,4,3,4,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.5080842050270675,-1.075090155702577,1,0,-0.9864299937097616,-0.6068496412330588,Aware but Lost
30,1,6,3,7,High,7,5,0,2.0,0.6666666666666666,2,0.0,label_evidence,disbeliever_label_evidence,1.0,2,หญิง,5,5,5,5,5,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,-0.4728692880055963,-1.0322888248033248,0,3,1.7452594551860345,1.125635127273645,Partial Connect
31,1,7,3,8,High,9,7,0,3.0,0.3333333333333333,3,0.0,other,disbeliever_other,1.0,1,หญิง,4,5,3,4,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,-0.5079464427069708,-1.1581194246345876,0,3,3.304185285465923,1.1228053785483758,Partial Connect
32,1,7,3,8,High,6,8,0,2.0,0.0,3,0.0,other,disbeliever_other,1.0,4,หญิง,3,5,4,4,5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,1,0,1,1,1,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,0,1,1,0,1,1,1,0,0,1,0,0,0,-0.5283233777123644,-1.1688658052783643,0,3,1.9397810362485373,1.2356567604146618,Partial Connect
33,1,1,0,5,Low,7,7,0,3.0,0.6666666666666666,1,,no_response,no_response,,4,ชาย,4,4,4,4,4,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,-0.49129257924023806,-1.1042860735107645,1,0,-0.601500976920966,-1.0577999995543548,Aware but Lost
34,1,1,0,5,Low,7,7,0,3.0,0.3333333333333333,1,,no_response,no_response,,3,ชาย,3,5,4,5,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,-0.438148602806217,-1.026045697564077,1,0,-0.21128569684789836,-0.8318415038489948,Aware but Lost
35,1,0,0,4,Low,6,6,0,2.0,0.3333333333333333,1,,no_response,no_response,,3,LGBTQ+,4,4,3,4,3,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.44870013248012636,-1.0674749542037418,2,0,-1.1081831305345595,-0.365888549354701,Disconnected
36,1,1,0,5,Low,6,6,0,3.0,0.6666666666666666,3,0.0,skeptical,disbeliever_skeptical,1.0,3,หญิง,4,5,3,3,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,1,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,-0.40753701387778146,-0.9746947574237377,1,0,-0.02492837619772226,-1.2607845383814058,Aware but Lost
37,1,2,0,6,Low,7,8,0,3.0,0.6666666666666666,3,1.0,skeptical,believer_skeptical,1.0,2,LGBTQ+,4,4,5,4,5,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,-0.4704042356680414,-1.1926611877642495,1,0,1.0353511062185081,-0.9799508731687532,Aware but Lost
38,1,0,0,4,Low,3,2,0,3.0,0.0,1,,no_response,no_response,,4,หญิง,3,5,3,5,3,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.5018490890406445,-1.0402163209380726,2,1,-2.9337393688014712,0.5963033303479972,Disconnected
39,1,2,0,6,Low,6,5,0,2.0,0.3333333333333333,2,1.0,brand_image,believer_brand_image,1.0,4,หญิง,4,5,3,4,4,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,-0.4238457521127008,-1.0068237082579234,1,0,-0.784831869965697,-0.718242829279832,Aware but Lost
40,1,3,0,7,Mid,6,5,0,3.0,0.3333333333333333,3,0.0,other,disbeliever_other,0.0,4,หญิง,5,5,3,4,4,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,1,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,1,0,1,0,0,1,0,0,0,-0.44393832950104045,-1.0460168174297717,1,0,-0.3715130010071794,-0.8810301831882088,Aware but Lost
41,1,0,0,4,Low,5,2,0,4.0,0.6666666666666666,2,1.0,brand_image,believer_brand_image,0.0,5,ชาย,4,5,2,5,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.48378854732704485,-1.0312137229321585,2,1,-2.303584365728023,-0.8446628186754725,Disconnected
42,1,7,0,11,High,9,8,0,4.0,0.6666666666666666,1,,no_response,no_response,,2,หญิง,4,5,5,5,4,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,-0.5141204311345104,-1.1898716140941448,1,3,2.01600152347861,-0.6388497267789763,Aware but Lost
43,1,4,1,7,Mid,6,7,0,3.0,0.6666666666666666,3,1.0,skeptical,believer_skeptical,1.0,3,หญิง,5,5,2,4,3,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,-0.43720385177938875,-0.9875650074330009,1,0,1.0058972603318534,-0.6435168294057476,Aware but Lost
44,1,4,2,6,Mid,9,7,0,2.0,0.3333333333333333,2,0.0,other,disbeliever_other,1.0,3,ชาย,5,5,5,5,5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,-0.4857535947033282,-1.042621876469823,0,3,1.5613255090452447,-0.26318044460196094,Partial Connect
45,1,7,3,8,High,6,4,0,4.0,0.3333333333333333,3,0.0,other,disbeliever_other,0.0,3,ชาย,3,5,1,3,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,1,1,1,0,0,1,0,0,0,-0.5096705213588686,-1.0329854928758662,0,3,1.3091126042281516,1.8866153327326973,Partial Connect
46,1,5,0,9,High,11,11,1,3.0,1.0,3,1.0,label_evidence,believer_label_evidence,1.0,4,หญิง,4,4,3,4,3,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1,1,1,-0.6714443438331736,-2.945046998631176,3,2,3.922081050610281,-4.231118846081877,Brand Advocate
47,1,3,0,7,Mid,8,8,0,1.0,0.3333333333333333,2,0.0,other,disbeliever_other,1.0,4,LGBTQ+,4,5,4,4,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,-0.46474817169430954,-1.0766382501266865,1,0,0.5413037408652859,-1.3901958406714328,Aware but Lost
48,1,0,0,4,Low,5,3,0,5.0,0.6666666666666666,1,,no_response,no_response,,5,หญิง,4,5,3,5,2,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,-0.4665398027847161,-1.055487844904444,2,1,-2.365784567124533,-0.8345748331460987,Disconnected
49,1,4,0,8,Mid,7,6,0,3.0,0.6666666666666666,2,1.0,sensory,believer_sensory,1.0,3,หญิง,4,5,3,4,3,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.41724322458277474,-0.9880471337166966,1,0,0.4759347852742341,-0.798551580457595,Aware but Lost
50,1,1,2,3,Low,6,6,0,2.0,0.6666666666666666,3,1.0,other,believer_other,0.0,2,หญิง,4,5,3,5,4,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,-0.421788661310623,-0.9953483722891946,1,0,0.8638959638328731,-0.11820595146932304,Aware but Lost
